Wall time,Step,Value
1736634852.4973829,371,80.0
1736634853.9691792,373,27.0
1736634856.593838,375,53.0
1736634857.4735224,376,21.0
1736634859.0880568,377,39.0
1736634862.1856737,378,75.0
1736634864.6017215,379,58.0
1736634870.7134142,381,80.0
1736634874.1019275,382,80.0
1736634878.0071495,384,11.0
1736634879.165576,385,28.0
1736634882.6772926,386,80.0
1736634886.1081607,387,80.0
1736634887.0813868,388,23.0
1736634889.6029599,390,23.0
1736634891.0255105,391,30.0
1736634891.3228002,392,7.0
1736634894.6199458,393,80.0
1736634906.2258558,398,27.0
1736634909.8012364,399,80.0
1736634913.8146312,402,8.0
1736634915.5805566,403,42.0
1736634919.7884285,405,80.0
1736634921.965003,406,53.0
1736634926.836207,408,80.0
1736634929.3755167,410,41.0
1736634942.1027155,415,38.0
1736634945.634751,416,80.0
1736634953.594165,419,80.0
1736634956.0078936,420,58.0
1736634958.887139,421,64.0
1736634960.5798903,422,36.0
1736634963.9600346,423,80.0
1736634965.05382,424,26.0
1736634969.323618,426,21.0
1736634973.6008146,428,80.0
1736634980.6764252,430,80.0
1736634984.8073063,432,19.0
1736634991.6437314,435,80.0
1736634993.0978105,436,35.0
1736635000.0448747,439,21.0
1736635003.4622245,440,80.0
1736635006.8453538,441,78.0
1736635010.1501415,442,80.0
1736635013.264704,444,44.0
1736635014.4755926,445,29.0
1736635020.054212,448,80.0
1736635021.419433,449,33.0
1736635025.6137555,451,21.0
1736635033.5786078,454,80.0
1736635038.179947,457,9.0
1736635038.5192802,458,8.0
1736635039.7606506,459,30.0
1736635040.9142287,460,27.0
1736635044.2682688,461,80.0
1736635051.3576949,463,80.0
1736635051.9812536,464,15.0
1736635053.5038686,465,37.0
1736635054.5348988,466,25.0
1736635055.2954414,467,18.0
1736635055.9235144,468,15.0
1736635057.6193748,469,41.0
1736635061.819463,471,55.0
1736635066.7795413,473,80.0
1736635067.5687325,474,19.0
1736635072.9297912,477,32.0
1736635075.4170876,478,60.0
1736635085.1108365,482,80.0
1736635092.368288,485,80.0
1736635095.2654858,486,62.0
1736635097.228427,488,21.0
1736635100.663543,489,80.0
1736635105.6268451,491,80.0
1736635106.8146584,492,25.0
1736635109.4955676,493,62.0
1736635115.2268221,496,80.0
1736635118.638423,497,80.0
1736635125.473861,499,75.0
1736635130.5024734,503,23.0
1736635139.6562793,506,80.0
1736635143.1021442,507,80.0
1736635145.2221117,508,47.0
1736635148.6191876,509,78.0
1736635152.2221556,510,80.0
1736635153.4289043,511,28.0
1736635154.0562823,512,15.0
1736635155.7591205,514,28.0
1736635159.3312666,515,80.0
1736635160.961426,516,37.0
1736635164.365689,517,80.0
1736635167.8840778,518,80.0
1736635171.5983868,519,80.0
1736635174.2834811,520,58.0
1736635183.4283218,524,14.0
1736635184.1395671,525,16.0
1736635198.382203,531,73.0
1736635205.190747,533,80.0
1736635207.1303594,534,45.0
1736635207.3466136,535,5.0
1736635210.9009156,536,80.0
1736635212.455389,537,37.0
1736635215.7899387,538,80.0
1736635217.1394556,539,32.0
1736635218.9172885,540,42.0
1736635221.2659874,541,55.0
1736635224.8036659,542,80.0
1736635228.2971363,543,80.0
1736635230.7954926,544,56.0
1736635231.3917985,545,14.0
1736635234.8516119,546,80.0
1736635238.3396235,547,80.0
1736635241.870901,548,80.0
1736635245.447149,549,80.0
1736635250.0660884,551,80.0
1736635252.859077,552,63.0
1736635256.4912632,553,80.0
1736635263.3168988,555,80.0
1736635270.3266068,557,80.0
1736635277.0429122,559,80.0
1736635277.4599445,560,10.0
1736635283.9318352,563,80.0
1736635285.6535852,564,41.0
1736635287.363371,565,40.0
1736635294.1793756,567,80.0
1736635295.1481593,568,20.0
1736635298.5917552,569,80.0
1736635302.5999768,571,80.0
1736635306.5194428,573,80.0
1736635310.01893,574,80.0
1736635315.7234664,576,50.0
1736635319.2742777,577,80.0
1736635321.1768985,578,42.0
1736635324.6050158,579,80.0
1736635328.154169,580,80.0
1736635331.59688,581,74.0
1736635335.182164,582,80.0
1736635335.917784,583,13.0
1736635339.0996194,584,77.0
1736635343.4635887,586,12.0
1736635346.8836522,587,80.0
1736635348.2032394,588,32.0
1736635355.601105,591,80.0
1736635356.2275174,592,15.0
1736635359.815273,593,80.0
