Wall time,Step,Value
1736736443.8095927,880,55.0
1736736464.6609538,881,42.0
1736736499.7440493,882,71.0
1736736571.1349807,884,64.0
1736736617.9139812,886,80.0
1736736624.7456543,887,14.0
1736736632.1099167,888,15.0
1736736669.2865152,889,75.0
1736736708.6742184,890,80.0
1736736754.5373962,892,16.0
1736736761.9521532,893,15.0
1736736798.820505,894,75.0
1736736872.2473662,896,80.0
1736736912.067222,897,80.0
1736736957.5533261,899,62.0
1736736967.5187156,900,20.0
1736737080.5201569,904,23.0
1736737120.4159563,905,80.0
1736737136.6959174,907,15.0
1736737141.6951494,908,10.0
1736737151.133394,909,19.0
1736737190.9769907,910,80.0
1736737212.5689988,911,44.0
1736737218.00717,912,11.0
1736737257.7365127,913,80.0
1736737277.4413733,915,25.0
1736737314.2485492,916,74.0
1736737318.7054722,917,9.0
1736737366.0442867,920,66.0
1736737375.9282348,921,20.0
1736737397.6553483,922,44.0
1736737403.6978092,923,12.0
1736737448.6817005,925,80.0
1736737627.4508405,931,75.0
1736737651.6346278,932,49.0
1736737656.5711782,933,10.0
1736737695.3515754,934,80.0
1736737734.4870095,935,80.0
1736737855.2774208,939,80.0
1736737904.1428664,942,32.0
1736737910.9774828,943,14.0
1736737970.9228187,945,42.0
1736738089.1140997,948,80.0
1736738128.3393638,949,80.0
1736738172.225223,951,9.0
1736738211.7562382,952,80.0
1736738215.7273178,953,8.0
1736738255.065634,954,80.0
1736738314.553871,956,67.0
1736738344.0122187,957,60.0
1736738348.3987024,958,9.0
1736738360.7556386,959,25.0
1736738399.701864,960,80.0
1736738418.5797422,961,38.0
1736738445.4925306,962,55.0
1736738485.0293355,963,80.0
1736738524.5217693,964,80.0
1736738583.3229735,966,73.0
1736738587.7674549,967,9.0
1736738667.053543,969,80.0
1736738745.2592368,971,78.0
1736738785.0837376,972,80.0
1736738864.4902623,974,80.0
1736738943.608161,976,80.0
1736738977.3306217,977,68.0
1736739016.9603636,978,80.0
1736739056.4882073,979,80.0
1736739167.2601457,982,65.0
1736739187.8295078,983,42.0
1736739227.5326154,984,80.0
1736739233.4918475,985,12.0
1736739275.743682,987,80.0
1736739310.7645361,988,71.0
1736739358.1688616,990,42.0
1736739397.3905158,991,80.0
1736739525.3717566,996,80.0
1736739548.8327656,997,47.0
1736739557.2906597,999,9.0
1736739577.9750626,1000,42.0
1736739607.8946614,1002,45.0
1736739647.4768512,1003,80.0
1736739676.2966177,1004,58.0
1736739682.45037,1005,11.0
1736739751.6057014,1007,80.0
1736739790.1400907,1008,78.0
1736739829.8741775,1009,80.0
1736739874.9496279,1011,80.0
1736739894.817389,1012,40.0
1736739904.205439,1013,19.0
1736739943.6541595,1014,80.0
1736740025.992637,1017,29.0
1736740040.8447614,1019,15.0
1736740077.4638624,1022,12.0
1736740127.6508343,1024,22.0
1736740130.6222932,1025,6.0
1736740167.4546835,1026,75.0
1736740182.3081253,1027,30.0
1736740199.565863,1029,26.0
1736740254.126962,1031,31.0
1736740267.3967767,1032,27.0
1736740307.0262392,1033,80.0
1736740344.5181415,1035,7.0
1736740355.8468802,1036,23.0
1736740395.2020147,1037,80.0
1736740428.0074227,1038,66.0
1736740467.3860729,1039,80.0
1736740495.4461591,1042,12.0
1736740508.2832208,1043,26.0
1736740544.8133228,1044,74.0
1736740640.4902067,1049,80.0
1736740643.452076,1050,6.0
1736740645.9119346,1051,5.0
1736740659.6883774,1052,28.0
1736740683.6565206,1054,25.0
1736740687.2217746,1055,7.0
1736740693.6334474,1056,13.0
1736740720.593963,1057,55.0
1736740729.8637552,1058,19.0
1736740879.4531574,1063,80.0
1736740918.4452384,1064,80.0
1736740957.73666,1065,80.0
1736740997.3120277,1066,80.0
1736741011.253676,1067,28.0
1736741051.2594154,1068,80.0
1736741101.1394076,1070,80.0
1736741140.5558562,1071,80.0
1736741146.015337,1072,11.0
1736741155.8922968,1073,20.0
1736741160.8678696,1074,10.0
1736741174.7386816,1075,28.0
1736741214.2920618,1076,80.0
1736741220.2154212,1077,12.0
1736741235.4137044,1078,31.0
1736741314.483791,1080,80.0
1736741318.9666796,1081,9.0
1736741321.4658527,1082,5.0
1736741324.5338812,1083,6.0
1736741361.1156404,1084,74.0
1736741400.6967783,1085,80.0
1736741410.0762713,1086,19.0
1736741456.9991353,1088,15.0
1736741536.2319798,1090,80.0
1736741583.3001597,1092,80.0
1736741613.941319,1093,62.0
1736741653.56437,1094,80.0
1736741664.874715,1096,15.0
1736741718.584988,1098,29.0
1736741745.2274303,1099,54.0
1736741824.0367837,1101,80.0
1736741869.6580036,1103,80.0
1736741909.241804,1104,80.0
1736741948.9531267,1105,80.0
1736741998.5677195,1107,80.0
1736742117.0056589,1110,80.0
1736742156.5141845,1111,80.0
1736742243.5691574,1114,68.0
1736742281.1982524,1116,13.0
1736742339.4672413,1119,80.0
1736742420.6469004,1122,80.0
1736742460.102671,1123,80.0
1736742481.6940897,1124,44.0
1736742484.1586027,1125,5.0
1736742523.7082796,1126,80.0
1736742562.997357,1127,80.0
1736742597.1391711,1128,68.0
1736742631.4808762,1129,70.0
1736742670.6711686,1130,80.0
1736742707.2317696,1131,74.0
1736742772.1149065,1133,80.0
1736742783.3316295,1134,23.0
1736742785.8056068,1135,5.0
1736742848.086966,1138,14.0
1736742878.2748847,1139,61.0
1736742950.9337907,1141,67.0
1736742990.4827633,1142,80.0
1736743030.2106407,1143,80.0
1736743059.778329,1144,60.0
1736743088.2745554,1146,42.0
1736743154.6614563,1149,9.0
1736743194.0389857,1150,80.0
1736743233.307475,1151,80.0
1736743265.1122718,1152,65.0
1736743304.551396,1153,80.0
1736743343.8287604,1154,80.0
1736743383.1778808,1155,80.0
1736743398.5576963,1156,31.0
1736743410.3802648,1157,24.0
1736743446.3038,1158,73.0
1736743448.2770176,1159,4.0
1736743461.6295698,1160,27.0
1736743500.9814713,1161,80.0
1736743540.3159509,1162,80.0
1736743585.061456,1164,52.0
1736743624.6460733,1165,80.0
1736743658.9245949,1166,70.0
1736743660.8771071,1167,4.0
1736743885.0982146,1177,34.0
1736744004.0954237,1180,80.0
1736744015.9132528,1181,24.0
1736744055.3258219,1182,80.0
1736744058.8721948,1183,7.0
1736744107.9486854,1185,80.0
1736744147.4278383,1186,80.0
1736744186.8036277,1187,80.0
1736744217.2369895,1188,62.0
1736744237.3498063,1189,41.0
1736744286.6777909,1191,20.0
1736744306.7883687,1192,41.0
1736744324.2042708,1193,35.0
1736744363.7441223,1194,80.0
1736744383.5973015,1195,40.0
1736744419.299925,1196,72.0
1736744459.1334944,1197,80.0
1736744482.3460743,1198,47.0
1736744501.4693942,1199,39.0
1736744541.0987184,1200,80.0
1736744547.558151,1201,13.0
1736744626.452089,1203,80.0
1736744637.2186403,1204,22.0
1736744664.898034,1206,27.0
1736744704.4402397,1207,80.0
1736744712.83601,1208,17.0
1736744768.0366588,1210,80.0
1736744798.6062472,1211,62.0
1736744821.8222375,1212,47.0
1736744861.3177242,1213,80.0
1736744887.139171,1214,52.0
1736744895.0730464,1215,16.0
1736744971.2744164,1219,26.0
1736745029.6906705,1221,38.0
1736745104.73431,1224,58.0
1736745144.526558,1225,80.0
1736745217.1082866,1227,80.0
1736745256.369591,1228,80.0
1736745260.8346555,1229,9.0
1736745279.861202,1231,14.0
1736745308.166741,1232,57.0
1736745324.490571,1233,33.0
1736745336.3185575,1234,23.0
1736745348.4994166,1235,24.0
1736745355.5332222,1236,14.0
1736745394.9905875,1237,80.0
1736745434.5615993,1238,80.0
1736745439.5298266,1239,10.0
1736745517.248011,1242,47.0
1736745556.5167155,1243,80.0
1736745596.0486495,1244,80.0
1736745642.6466608,1246,14.0
1736745661.3092928,1247,38.0
1736745678.9846478,1248,36.0
1736745717.9625645,1249,80.0
1736745754.2999783,1250,74.0
1736745835.9503763,1253,80.0
1736745875.2066255,1254,80.0
1736745879.1270323,1255,8.0
1736745918.7935145,1256,80.0
1736745958.5772345,1257,80.0
1736745992.808847,1258,69.0
1736746031.9110963,1259,80.0
1736746084.4624972,1261,26.0
1736746095.2850187,1262,22.0
1736746121.3552308,1263,53.0
1736746155.1252515,1264,68.0
1736746194.5174508,1265,80.0
1736746233.9918075,1266,80.0
1736746273.3234,1267,80.0
1736746312.96502,1268,80.0
1736746400.2787545,1271,31.0
1736746440.0171676,1272,80.0
1736746518.651794,1274,78.0
1736746677.2686882,1278,80.0
1736746716.5828354,1279,80.0
1736746761.1383703,1281,11.0
1736746782.4252987,1282,43.0
1736746884.9108195,1285,80.0
1736746927.2156067,1287,25.0
1736746966.5566604,1288,80.0
1736746979.696738,1289,27.0
1736747044.861233,1291,52.0
1736747084.274135,1292,80.0
1736747123.8531373,1293,80.0
1736747163.2383223,1294,80.0
1736747234.5615323,1296,66.0
1736747273.7877612,1297,80.0
1736747313.2587981,1298,80.0
1736747345.6199934,1299,66.0
1736747385.0231175,1300,80.0
1736747430.9459543,1302,14.0
1736747470.479395,1303,80.0
1736747509.8078718,1304,80.0
1736747588.066888,1306,80.0
1736747627.328028,1307,80.0
1736747727.301292,1310,80.0
1736747777.1864476,1312,60.0
1736747787.5480347,1313,21.0
1736747857.070513,1315,79.0
1736747896.9158483,1316,80.0
1736747920.3114126,1317,47.0
1736747935.040623,1318,30.0
1736747974.4542563,1319,80.0
1736747989.586033,1320,31.0
1736748029.452327,1321,80.0
1736748061.6366765,1324,29.0
1736748102.0559707,1325,80.0
1736748142.5259428,1326,80.0
1736748182.4041615,1327,80.0
1736748222.2432196,1328,80.0
1736748228.1925066,1329,12.0
1736748267.8160543,1330,80.0
1736748338.5108962,1332,80.0
1736748378.430087,1333,80.0
1736748399.8605351,1334,43.0
1736748440.2367327,1335,80.0
1736748462.662445,1336,45.0
1736748472.0992723,1337,19.0
1736748534.4807858,1340,80.0
1736748579.4667265,1342,28.0
1736748619.514753,1343,80.0
1736748659.334726,1344,80.0
1736748699.2753985,1345,80.0
1736748739.1702116,1346,80.0
1736748778.8062303,1347,80.0
1736748791.3046615,1348,25.0
1736748831.120468,1349,80.0
1736748871.2993078,1350,80.0
1736748905.50986,1351,68.0
1736749025.179037,1354,80.0
1736749039.5626168,1355,29.0
1736749157.7806163,1358,80.0
1736749197.6836486,1359,80.0
1736749214.0063562,1361,8.0
1736749253.888092,1362,80.0
1736749293.4888847,1363,80.0
1736749368.1113493,1365,70.0
1736749408.0789285,1366,80.0
1736749420.1408384,1367,24.0
1736749476.331079,1369,80.0
1736749516.4104302,1370,80.0
1736749555.9040947,1371,80.0
1736749605.283163,1373,19.0
1736749621.7594242,1374,33.0
1736749653.0207145,1375,62.0
1736749708.7362118,1377,32.0
1736749714.163462,1378,11.0
1736749752.6889014,1379,77.0
1736749789.8965116,1381,68.0
1736749804.7480164,1382,30.0
1736749855.1091642,1384,80.0
1736749881.362723,1385,53.0
